id;tweet_text;created_at;lang;created_by_id
1;posuere iudicabit tincidunt intellegat neglegentur saepe volutpat;2017-08-08 12:00:00;en;912
2;nostrum tacimates melius tristique reque comprehensam no;2017-08-08 12:00:00;en;4343
3;lectus populo no interesset fames commune perpetua;2017-08-08 12:00:00;en;7808
4;ferri dicunt a autem expetendis varius dicat;2017-08-08 12:00:00;en;2901
5;mandamus facilis quaerendum erroribus fermentum postea numquam;2017-08-08 12:00:00;en;7649
6;melius ad falli aptent error regione honestatis;2017-08-08 12:00:00;en;4786
7;congue vehicula sale neglegentur saepe vocent libris;2017-08-08 12:00:00;en;6421
8;enim nam donec venenatis aliquet his ei;2017-08-08 12:00:00;en;8793
9;lacus aliquid vocent pri ne propriae tempor;2017-08-08 12:00:00;en;5853
10;disputationi laoreet possit causae persequeris ornare nostra;2017-08-08 12:00:00;en;9856
11;quisque lacus delenit aliquam no his ornatus;2017-08-08 12:00:00;en;888
12;nisl conubia sem inciderint aptent alia fugit;2017-08-08 12:00:00;en;8551
13;vocent vivendo instructior mazim definitiones torquent accumsan;2017-08-08 12:00:00;en;7170
14;detraxit melius voluptatibus venenatis ac lacinia convallis;2017-08-08 12:00:00;en;6374
15;vivamus his dui class praesent metus eget;2017-08-08 12:00:00;en;5888
16;reprimique quaeque tation alia nascetur expetenda dolores;2017-08-08 12:00:00;en;568
17;nulla dignissim deseruisse mandamus cursus accusata natum;2017-08-08 12:00:00;en;7078
18;ceteros tempus iriure civibus pellentesque torquent no;2017-08-08 12:00:00;en;1483
19;graeci civibus tristique ceteros dico platea invidunt;2017-08-08 12:00:00;en;7168
20;ignota conclusionemque qui eum volumus verear eum;2017-08-08 12:00:00;en;7695
21;salutatus possit an condimentum mus ornare at;2017-08-08 12:00:00;en;8535
22;aenean similique alterum fastidii veniam litora iisque;2017-08-08 12:00:00;en;8468
23;vituperatoribus reque regione rhoncus morbi tibique oratio;2017-08-08 12:00:00;en;6939
24;risus magnis ex vestibulum sumo novum omittam;2017-08-08 12:00:00;en;7134
25;lectus corrumpit neglegentur aptent habitasse finibus quam;2017-08-08 12:00:00;en;5665
26;definitiones aliquet eum et prodesset no suscipiantur;2017-08-08 12:00:00;en;9884
27;ridens dis non ultricies sanctus deterruisset scelerisque;2017-08-08 12:00:00;en;9662
28;causae elitr ultrices platea reprimique an mei;2017-08-08 12:00:00;en;9892
29;consectetur parturient habeo sociosqu prompta tempus dolorum;2017-08-08 12:00:00;en;4158
30;utamur id invidunt euismod sociosqu aeque tation;2017-08-08 12:00:00;en;121
31;enim dignissim auctor iriure vel idque wisi;2017-08-08 12:00:00;en;7599
32;fuisset eripuit melius vix fastidii platea tritani;2017-08-08 12:00:00;en;6485
33;auctor sumo utroque doming viverra alia affert;2017-08-08 12:00:00;en;9881
34;quo voluptatum neque singulis tale definiebas mollis;2017-08-08 12:00:00;en;479
35;tation elementum ceteros cu epicuri turpis euismod;2017-08-08 12:00:00;en;7682
36;inciderint cursus magnis mei tation magna quod;2017-08-08 12:00:00;en;7595
37;dicunt elementum habitasse sententiae torquent nobis prompta;2017-08-08 12:00:00;en;924
38;nostra placerat vestibulum aenean iriure corrumpit arcu;2017-08-08 12:00:00;en;2497
39;tempus senectus animal arcu ignota vocent cetero;2017-08-08 12:00:00;en;3913
40;aliquip latine penatibus solum diam mi class;2017-08-08 12:00:00;en;8152
41;consectetur ornatus postulant adipisci evertitur ponderum alienum;2017-08-08 12:00:00;en;3904
42;nisl ligula nisi pellentesque noluisse nisi gloriatur;2017-08-08 12:00:00;en;7739
43;tristique nihil an torquent sapientem sale taciti;2017-08-08 12:00:00;en;5709
44;quaestio option litora laudem tibique elementum sociis;2017-08-08 12:00:00;en;7313
45;propriae graeci harum invidunt reque usu porta;2017-08-08 12:00:00;en;4174
46;animal dico suspendisse qui eruditi doctus libero;2017-08-08 12:00:00;en;6379
47;delectus convallis ridiculus nostrum ubique constituto suscipiantur;2017-08-08 12:00:00;en;3816
48;reprimique dignissim evertitur putent salutatus vidisse graeci;2017-08-08 12:00:00;en;6405
49;utamur agam nullam labores assueverit malesuada diam;2017-08-08 12:00:00;en;269
50;interpretaris dictumst sonet nibh convenire gubergren fusce;2017-08-08 12:00:00;en;9487
51;quaestio odio pericula ius lacinia cu duis;2017-08-08 12:00:00;en;4637
52;fringilla ponderum error molestie dicta erroribus quo;2017-08-08 12:00:00;en;7032
53;instructior legere nostrum constituam consectetur aperiri mi;2017-08-08 12:00:00;en;4076
54;augue doming corrumpit deserunt dolorem nisi fusce;2017-08-08 12:00:00;en;8821
55;tellus menandri scelerisque epicuri dictumst fames voluptaria;2017-08-08 12:00:00;en;4498
56;hinc equidem luptatum simul luctus platea suas;2017-08-08 12:00:00;en;4146
57;atomorum placerat maiestatis has montes feugait falli;2017-08-08 12:00:00;en;144
58;himenaeos noluisse quaerendum nostrum maecenas fringilla eos;2017-08-08 12:00:00;en;8399
59;corrumpit reprimique aptent sanctus meliore labores impetus;2017-08-08 12:00:00;en;5968
60;adipisci dicat tamquam vocent faucibus pro no;2017-08-08 12:00:00;en;4589
61;nulla habitasse vim definitionem habeo legere dicam;2017-08-08 12:00:00;en;2615
62;pharetra nulla evertitur lectus laudem vel parturient;2017-08-08 12:00:00;en;6931
63;feugait consectetur feugiat populo quot parturient mentitum;2017-08-08 12:00:00;en;5441
64;dicta fabulas eget mutat graeco nominavi sadipscing;2017-08-08 12:00:00;en;9242
65;elit mus putent tota vehicula ponderum volutpat;2017-08-08 12:00:00;en;8447
66;erroribus eruditi iisque deterruisset auctor fringilla dolores;2017-08-08 12:00:00;en;1317
67;senserit montes nullam facilisi donec wisi bibendum;2017-08-08 12:00:00;en;5978
68;vix iisque regione nam elementum constituam dolore;2017-08-08 12:00:00;en;2361
69;nam laudem nibh antiopam nunc ubique viderer;2017-08-08 12:00:00;en;9580
70;diam eloquentiam repudiare ubique cubilia instructior oporteat;2017-08-08 12:00:00;en;5340
71;leo idque oratio mus ornare luctus suscipiantur;2017-08-08 12:00:00;en;381
72;reformidans definitionem euripidis nibh nullam corrumpit regione;2017-08-08 12:00:00;en;1094
